"STUDENT_ID","SEX","MAJOR_1","MAJOR_2","INTENDED_LANGUAGE","SECTION_ID","PROF_ID","PROF_DISCIPLINE","DISCIPLINE_SIZE","PROF_LANGUAGE"
"S_074","F","Environmental Studies","","Undecided","C_004","P_004","Humanities","SMALL","Greek"
"S_075","F","Marine Science","Marine Science","Spanish","C_018","P_018","Humanities","SMALL","Greek"
"S_076","F","Marine Science","Visual Arts","Undecided","C_011","P_011","Literature","SMALL","N/A"
"S_077","M","Business Administration","","Spanish","C_001","P_001","Management","MEDIUM","N/A"
"S_078","F","Communication","","Undecided","C_014","P_014","History","SMALL","N/A"
"S_079","M","Undecided","","Spanish","C_020","P_020","Sociology","SMALL","N/A"
"S_080","M","Biology","","Japanese","C_016","P_016","Creative Writing","MEDIUM","N/A"
"S_081","F","Marine Science","","Spanish","C_012","P_012","Rhetoric","N/A","N/A"
"S_082","F","Marine Science","","Undecided","C_008","P_008","Economics","SMALL","N/A"
"S_083","F","Business Administration","","Arabic","C_006","P_006","Italian","N/A","Italian"
"S_084","F","Biology","Economics","Arabic","C_008","P_008","Economics","SMALL","N/A"
"S_085","F","Intl Relations/Global Affairs","Animal Studies","Undecided","C_006","P_006","Italian","N/A","Italian"
"S_086","M","Marine Science","","Spanish","C_020","P_020","Sociology","SMALL","N/A"
"S_087","F","Animal Studies","","Undecided","C_020","P_020","Sociology","SMALL","N/A"
"S_088","F","Marine Science","Marine Science","Undecided","C_014","P_014","History","SMALL","N/A"
"S_089","F","Marine Science","","Spanish","C_004","P_004","Humanities","SMALL","Greek"
"S_090","F","Marine Science","Biology","Undecided","C_019","P_019","Biology","BIG","N/A"
"S_091","F","Marine Science","","Japanese","C_002","P_002","Rhetoric","N/A","N/A"
"S_092","F","Animal Studies","","French","C_006","P_006","Italian","N/A","Italian"
"S_093","F","Communication","","Spanish","C_002","P_002","Rhetoric","N/A","N/A"
"S_094","F","Marine Science","","Spanish","C_007","P_007","Theatre","SMALL","N/A"
"S_095","M","Animal Studies","Spanish","Spanish","C_016","P_016","Creative Writing","MEDIUM","N/A"
"S_096","F","Undecided","","Spanish","C_009","P_009","French","SMALL","French"
"S_097","F","Communication","","Spanish","C_003","P_003","Political Science","MEDIUM","N/A"
"S_098","F","Marine Science","Music","Spanish","C_008","P_008","Economics","SMALL","N/A"
"S_099","F","Marine Science","Animal Studies","Undecided","C_006","P_006","Italian","N/A","Italian"
"S_100","F","Animal Studies","Animal Studies","Chinese","C_002","P_002","Rhetoric","N/A","N/A"
"S_101","F","Marine Science","Psychology","Spanish","C_006","P_006","Italian","N/A","Italian"
"S_102","F","Marine Science","","Undecided","C_004","P_004","Humanities","SMALL","Greek"
"S_103","F","Environmental Studies","Visual Arts","French","C_001","P_001","Management","MEDIUM","N/A"
"S_104","F","Marine Science","Visual Arts","Spanish","C_006","P_006","Italian","N/A","Italian"
"S_105","M","Marine Science","International Business","Latin","C_015","P_015","International Business","SMALL","N/A"
"S_106","F","Marine Science","Animal Studies","Undecided","C_004","P_004","Humanities","SMALL","Greek"
"S_107","F","Theatre","","French","C_010","P_010","Theatre","SMALL","N/A"
"S_108","M","Marine Science","","Undecided","C_009","P_009","French","SMALL","French"
"S_109","F","Marine Science","Environmental Studies","Spanish","C_010","P_010","Theatre","SMALL","N/A"
"S_110","M","Marine Science","","Spanish","C_002","P_002","Rhetoric","N/A","N/A"
"S_111","M","Marine Science","Philosophy","Undecided","C_017","P_017","Philosophy","SMALL","N/A"
"S_112","M","Biology","Visual Arts","French","C_018","P_018","Humanities","SMALL","Greek"
"S_113","F","Psychology","Animal Studies","Undecided","C_016","P_016","Creative Writing","MEDIUM","N/A"
"S_114","F","Marine Science","","Arabic","C_013","P_013","Computer Science","SMALL","N/A"
"S_115","F","Marine Science","Visual Arts","Spanish","C_017","P_017","Philosophy","SMALL","N/A"
"S_116","F","Marine Science","","Spanish","C_018","P_018","Humanities","SMALL","Greek"
"S_117","M","Biochemistry","Psychology","Spanish","C_016","P_016","Creative Writing","MEDIUM","N/A"
"S_118","M","Political Science","Pre-Veterinary","Arabic","C_006","P_006","Italian","N/A","Italian"
"S_119","M","Undecided","","Spanish","C_015","P_015","International Business","SMALL","N/A"
"S_120","F","Marine Science","","Undecided","C_017","P_017","Philosophy","SMALL","N/A"
"S_121","F","Marine Science","","Spanish","C_010","P_010","Theatre","SMALL","N/A"
"S_122","F","Marine Science","Animal Studies","Spanish","C_011","P_011","Literature","SMALL","N/A"
"S_123","F","Pre-Medicine","Psychology","Spanish","C_009","P_009","French","SMALL","French"
"S_124","F","Creative Writing","Psychology","Undecided","C_011","P_011","Literature","SMALL","N/A"
"S_125","F","Marine Science","","Undecided","C_020","P_020","Sociology","SMALL","N/A"
"S_126","F","Marine Science","","French","C_018","P_018","Humanities","SMALL","Greek"
"S_127","F","Marine Science","","Undecided","C_017","P_017","Philosophy","SMALL","N/A"
"S_128","M","Psychology","","Italian","C_013","P_013","Computer Science","SMALL","N/A"
"S_129","M","Marine Science","Biology","Undecided","C_014","P_014","History","SMALL","N/A"
"S_130","F","Political Science","Philosophy","French","C_001","P_001","Management","MEDIUM","N/A"
"S_131","F","Marine Science","","Undecided","C_020","P_020","Sociology","SMALL","N/A"
"S_132","F","Marine Science","Animal Studies","Undecided","C_007","P_007","Theatre","SMALL","N/A"
"S_133","F","Marine Science","","Undecided","C_018","P_018","Humanities","SMALL","Greek"
"S_134","F","Marine Science","Animal Studies","Undecided","C_011","P_011","Literature","SMALL","N/A"
"S_135","F","International Business","Environmental Studies","Spanish","C_001","P_001","Management","MEDIUM","N/A"
"S_136","F","Marine Science","Intl Relations/Global Affairs","Undecided","C_003","P_003","Political Science","MEDIUM","N/A"
"S_137","F","Environmental Studies","","French","C_016","P_016","Creative Writing","MEDIUM","N/A"
"S_138","F","Animal Studies","Marine Science","Spanish","C_003","P_003","Political Science","MEDIUM","N/A"
"S_139","M","Psychology","Marine Science","Undecided","C_010","P_010","Theatre","SMALL","N/A"
"S_140","F","Marine Science","Chemistry","Japanese","C_011","P_011","Literature","SMALL","N/A"
"S_141","M","Computer Science","","Undecided","C_020","P_020","Sociology","SMALL","N/A"
"S_142","F","Environmental Studies","","Latin","C_006","P_006","Italian","N/A","Italian"
"S_143","F","Biology","Marine Science","Undecided","C_019","P_019","Biology","BIG","N/A"
"S_144","F","Environmental Studies","Philosophy","Undecided","C_007","P_007","Theatre","SMALL","N/A"
"S_145","F","Undecided","","Spanish","C_015","P_015","International Business","SMALL","N/A"
"S_146","F","Undecided","","Italian","C_018","P_018","Humanities","SMALL","Greek"
"S_147","M","Marine Science","","Japanese","C_010","P_010","Theatre","SMALL","N/A"
"S_148","F","Marine Science","","French","C_006","P_006","Italian","N/A","Italian"
"S_149","M","Marine Science","","French","C_002","P_002","Rhetoric","N/A","N/A"
"S_150","F","Biology","","Spanish","C_019","P_019","Biology","BIG","N/A"
"S_151","F","Pre-Medicine","","Undecided","C_006","P_006","Italian","N/A","Italian"
"S_152","M","Biochemistry","Anthropology","Greek","C_002","P_002","Rhetoric","N/A","N/A"
"S_153","F","Marine Science","Anthropology","Spanish","C_020","P_020","Sociology","SMALL","N/A"
"S_154","F","Marine Science","","Undecided","C_008","P_008","Economics","SMALL","N/A"
"S_155","M","Marine Science","","Undecided","C_017","P_017","Philosophy","SMALL","N/A"
"S_156","F","Marine Science","","Undecided","C_006","P_006","Italian","N/A","Italian"
"S_157","F","Marine Science","","Spanish","C_008","P_008","Economics","SMALL","N/A"
"S_158","M","Marine Science","","Undecided","C_002","P_002","Rhetoric","N/A","N/A"
